COL_ID	A_ID	Author_Initials	Title	City	Year	Sovremennik	OZ	CO	MN	Telescope	JMNP	SP	BdCH
COL_1	A-1	А. Я-в	Кривой бес. Русская сказка [Стихотворения]	СПб.	1835	NA	NA	NA	NA	NA	NA	NA	1835. Т. 11. С. 1
COL_2	A-2	Баратынский Е.А.	Сочинения Е. Баратынского	М.	1835	NA	NA	NA	NA	1835. Ч. 27. № 8. С. 123-137. (В. Белинский)	NA	NA	NA
COL_3	A-3	Венгер Н.	Сочинения Николая Венгера в стихах и прозе	М.	1835	NA	NA	NA	NA	NA	NA	NA	NA
COL_4	A-4	Деларю М.Д.	Опыты в стихах Михаила Деларю	СПб.	1835	NA	NA	NA	NA	NA	NA	1835. № 101. 8 мая. С. 401-402	1835. Т. 10. С. 30-31
COL_5	A-5	Зилов А.М.	Стихотворения Алексея Зилова [Тетрадь 1-я]	М.	1835	NA	NA	NA	NA	NA	NA	1835. № 114. 24 мая. С. 453-454	1835. Т. 10. С. 29-30
COL_6	A-6	Кожухов Н.	Переводы с французского прозою, и сочинения в стихах Н. Кожухова	М.	1835	NA	NA	NA	NA	NA	NA	NA	1835. Т. 12. С. 3
COL_7	A-7	Кольцов А.В.	Стихотворения Алексея Кольцова	М.	1835	NA	NA	1836. Ч. 176. № 12. С. 259-272; № 13. С. 309-324 (Я. Неверов)	NA	1835. Ч. 27. С. 470-483. В. Белинский	1836. Ч. 9. № 3. С. 653-658	1835. № 290. 20 дек. С. 1157-1158	NA
COL_8	A-8	Лебедев В.	Осенний вечер	СПб.	1835	NA	NA	NA	NA	NA	NA	1835. № 272. 30 ноя. С. 1085-1087	1835. Т. 13. С. 20-25
COL_9	A-9	Меркли М.М.	Стихотворения Михаила Меркли	М.	1835	NA	NA	NA	NA	NA	1839. Ч. 23. Отд. VI. С. 118	NA	1835. Т. 9. C. 29; 1837. Т. 21. С. 3-4
COL_10	A-10	Мятлев И.П.	Собрание стихотворений	СПб.	1835	NA	NA	NA	NA	NA	NA	NA	1835. Т. 9. С. 23-27
COL_11	A-11	Пушкин А.С.	Стихотворения Александра Пушкина. Ч. 4.	СПб.	1835	NA	NA	NA	NA	NA	NA	NA	1835. Т. 12. С. 17-19
COL_12	A-12	Риль Ю.	Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем.	СПб.	1835	NA	NA	NA	NA	NA	NA	NA	NA
COL_13	A-13	Геевский С.Л.	Сочинения и переводы в стихах С.Г.	Харьков	1835	NA	NA	NA	NA	NA	NA	NA	NA
COL_14	A-14	Савурский Н.	Весенняя ветка. Стихотворения	СПб.	1835	NA	NA	NA	NA	NA	NA	1835. № 241. 25 окт. С. 961-962	1835. Т. 12. С. 23
COL_15	A-15	Тимофеев А.В.	Песни. В 2 ч.	СПб.	1835	NA	NA	NA	1836. Ч. 6. Кн. 1. С. 90-91. (С. Шевырев)	Молва. 1836. № 2. С. 65-71	NA	1835. № 217. 27 сент. С. 865-867	1835. Т. 12. С. 19-23
COL_16	A-16	Топчибашев М. Д.	На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева	СПб.	1835	NA	NA	NA	NA	NA	NA	NA	1835. Т. 11. С. 2-3
COL_17	NA	NA	Стихотворение на столетие литейного дома с арсенала в Петербурге 1835 года 6 августа	СПб.	1835	NA	NA	NA	NA	NA	NA	NA	NA
COL_18	NA	NA	Шесть лет: Прощальная песнь воспитанников Имп. лицея в Царском селе	СПб.	1835	NA	NA	NA	NA	NA	NA	NA	NA
COL_141	A-17	Цитович Н.Д.	Басни Н. Цитовича	СПб.	1835	NA	NA	NA	NA	NA	NA	NA	1835. Т. 10. С. 32
COL_200	A-18	Бенедиктов В.Г.	Стихотворения Владимира Бенедиктова	СПб.	1835	NA	NA	NA	NA	1835. Ч. 27. № 10.  С. 357-387. В. Белинский	1836. Ч. 9. № 1. С. 192-199	1835. № 240. 24 окт. С. 957-959	1835. Т. 13. С.  1-3
COL_212	A-19	Жуковский В.А.	Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е.	СПб.	1835	NA	NA	NA	NA	NA	1836. Ч. 9. № 1. С. 180-192	NA	NA
COL_19	A-20	Аполлон де ***	Стихотворения Аполлона де ***	М.	1836	NA	NA	NA	NA	Молва. 1836. № ?. С. 63-64	1838. Ч. 20. № 12. С. 589	NA	1836. Т. 18. С. 8-9
COL_20	NA	NA	Стихотворения Владимира Бенедиктова / изд. 2-е	СПб.	1836	NA	NA	NA	NA	Молва. 1836. №?. С. 211-214	1838. Ч. 20. № 12. С. 589	1836. № 144. 26 июн. С. 573-576	1836. Т. 17. С. 1-2
COL_22	A-5	Зилов А.М.	Стихотворения Алексея Зилова. Тетрадь 2-я	М.	1836	NA	NA	NA	NA	NA	NA	NA	1836. Т. 17. С. 25
COL_23	А-22	NA	Стихотворения Дмитрия Кашкина	М.	1836	NA	NA	NA	NA	NA	NA	NA	1836. Т. 19. С. 37-41
COL_24	А-23	NA	Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова	СПб.	1836	NA	NA	NA	NA	NA	NA	1836. № 104. 9 мая. С. 413-414	1836. Т. 16. С. 18-19
COL_25	А-24	NA	Стихотворения Алексея Мейснера	М.	1836	NA	NA	NA	NA	Молва. 1836. Ч. 12. С. 28-30	1838. Ч. 20. № 12. С. 589	1836. № 190. 21 авг. С. 757-759	1836. Т. 18. С. 6-8
COL_26	A-25	Муравьев Н.Н.	Некоторые из забав отдохновения… Ч. 2.	СПб.	1836	NA	NA	NA	NA	NA	NA	NA	NA
COL_27	A-26	Полежаев А.И.	Кальян. Стихотворения Полежаева / Изд. 2	М.	1836	NA	NA	NA	NA	Молва. 1836. № 5. С. 112-114	NA	NA	1836. Т. 15. С.  1-2
